date,site,lst,baseline,z_score,severity,status,ndvi_change
2025-12-02,Golan Heights,14.25,9.9,3.04,Critical,New,-0.084
2025-12-02,Mount Tabor,15.31,11.58,3.11,Critical,New,-0.089
2025-12-07,Hula Valley,17.39,13.5,2.36,Severe,New,-0.144
2025-12-12,Mount Carmel,16.85,11.36,3.68,Critical,New,-0.08
2025-12-16,Galilee North,13.75,11.29,2.24,Severe,Handled,-0.137
2025-12-16,Jezreel Valley,18.1,12.58,3.68,Critical,New,-0.147
2025-12-18,Jordan Valley,20.82,16.77,3.62,Critical,Handled,-0.147
2025-12-20,Mount Carmel,15.53,11.24,2.66,Severe,Handled,-0.099
2025-12-21,Galilee South,15.83,11.93,3.42,Critical,Handled,-0.14
2025-12-22,Jezreel Valley,16.15,12.33,2.42,Severe,Reviewed,-0.071
2025-12-23,Galilee South,14.89,11.96,2.38,Severe,New,-0.136
2025-12-27,Jezreel Valley,18.08,12.38,3.02,Critical,New,-0.063
2025-12-28,Galilee North,14.66,10.66,3.39,Critical,New,-0.154
2025-12-28,Jordan Valley,20.38,16.5,2.94,Severe,New,-0.169
2025-12-30,Galilee South,14.77,11.96,2.25,Severe,New,-0.131
2025-12-30,Mount Carmel,13.8,11.17,1.55,Mild,Handled,-0.047
2026-01-02,Hula Valley,16.55,12.62,2.69,Severe,New,-0.129
2026-01-06,Mount Tabor,11.93,10.67,1.77,Mild,Handled,-0.078
2026-01-07,Mount Tabor,15.49,10.84,4.12,Critical,Reviewed,-0.072
2026-01-11,Golan Heights,10.32,9.11,1.7,Mild,Reviewed,-0.105
2026-01-12,Golan Heights,11.15,9.18,2.46,Severe,New,-0.096
2026-01-13,Golan Heights,10.62,9.25,1.65,Mild,New,-0.171
2026-01-13,Hula Valley,17.29,12.55,3.25,Critical,New,-0.168
2026-01-17,Jordan Valley,18.9,16.53,2.15,Severe,New,-0.052
2026-01-18,Galilee South,17.51,12.46,3.32,Critical,New,-0.051
2026-01-18,Mount Tabor,17.09,11.28,3.65,Critical,Reviewed,-0.125
2026-01-20,Galilee North,12.68,11.02,1.52,Mild,New,-0.143
2026-01-20,Mount Carmel,15.74,11.24,3.72,Critical,New,-0.127
2026-01-21,Galilee North,13.35,11.14,1.94,Mild,New,-0.06
2026-01-21,Golan Heights,11.13,9.43,2.1,Severe,New,-0.131
2026-01-22,Galilee South,17.97,12.56,3.22,Critical,New,-0.144
2026-01-24,Galilee North,17.27,11.57,3.8,Critical,Reviewed,-0.118
2026-01-24,Golan Heights,10.85,9.57,1.62,Mild,Reviewed,-0.145
2026-01-25,Jordan Valley,21.66,17.18,3.27,Critical,Handled,-0.171
2026-01-26,Mount Carmel,13.45,11.61,1.56,Mild,Reviewed,-0.09
2026-01-27,Jordan Valley,19.66,17.2,1.89,Mild,New,-0.106
2026-01-28,Golan Heights,11.9,9.86,2.4,Severe,Handled,-0.155
2026-01-29,Golan Heights,12.09,9.94,2.29,Severe,New,-0.123
2026-01-29,Jezreel Valley,14.96,13.05,2.08,Severe,New,-0.086
2026-01-30,Jezreel Valley,15.28,13.18,2.19,Severe,Handled,-0.07
2026-01-30,Mount Tabor,14.46,12.01,1.6,Mild,New,-0.179
2026-01-31,Jezreel Valley,14.89,13.23,1.64,Mild,New,-0.057
2026-02-01,Golan Heights,12.98,10.16,2.56,Severe,New,-0.142
2026-02-01,Jezreel Valley,14.87,13.32,1.5,Mild,New,-0.13
2026-02-02,Jordan Valley,23.94,17.89,3.44,Critical,New,-0.095
2026-02-02,Mount Carmel,13.79,11.92,1.6,Mild,New,-0.081
2026-02-03,Galilee North,14.44,12.2,1.57,Mild,Handled,-0.173
2026-02-05,Hula Valley,15.75,13.71,1.73,Mild,New,-0.071
2026-02-05,Mount Carmel,13.99,12.14,1.54,Mild,Handled,-0.106
2026-02-06,Jezreel Valley,16.59,13.63,2.6,Severe,New,-0.092
2026-02-06,Jordan Valley,21.05,18.35,1.63,Mild,New,-0.133
2026-02-07,Golan Heights,12.51,10.66,1.65,Mild,Handled,-0.048
2026-02-07,Jezreel Valley,15.57,13.77,1.61,Mild,Reviewed,-0.071
2026-02-08,Hula Valley,16.32,13.99,1.96,Mild,Handled,-0.18
2026-02-08,Jezreel Valley,16.43,13.88,2.09,Severe,New,-0.067
2026-02-08,Mount Carmel,14.8,12.4,1.9,Mild,Reviewed,-0.064
2026-02-09,Galilee South,16.24,13.92,1.59,Mild,Reviewed,-0.171
2026-02-09,Jezreel Valley,16.71,14.01,2.08,Severe,New,-0.163
2026-02-10,Jezreel Valley,16.27,14.14,1.6,Mild,Handled,-0.076
2026-02-11,Galilee North,15.31,12.85,1.78,Mild,New,-0.154
2026-02-11,Jezreel Valley,16.55,14.28,1.68,Mild,Reviewed,-0.141
2026-02-12,Golan Heights,13.76,10.97,2.34,Severe,New,-0.173
2026-02-12,Hula Valley,16.84,14.29,2.34,Severe,Handled,-0.054
2026-02-13,Hula Valley,16.15,14.41,1.61,Mild,New,-0.042
2026-02-13,Mount Carmel,14.84,12.81,1.62,Mild,New,-0.101
2026-02-14,Galilee North,15.23,13.16,1.54,Mild,Handled,-0.173
2026-02-14,Golan Heights,13.2,11.16,1.66,Mild,New,-0.147
2026-02-14,Hula Valley,16.72,14.54,1.95,Mild,Handled,-0.18
2026-02-14,Jezreel Valley,17.45,14.67,2.04,Severe,New,-0.172
2026-02-14,Mount Tabor,16.47,13.33,2.03,Severe,New,-0.118
2026-02-15,Galilee North,15.64,13.32,1.73,Mild,Reviewed,-0.17
2026-02-15,Hula Valley,16.83,14.64,1.84,Mild,Handled,-0.164
2026-02-16,Galilee North,15.82,13.45,1.72,Mild,Reviewed,-0.139
2026-02-16,Jezreel Valley,17.49,14.91,1.79,Mild,New,-0.145
2026-02-16,Jordan Valley,22.46,19.49,1.78,Mild,Handled,-0.149
2026-02-17,Golan Heights,13.73,11.53,1.76,Mild,New,-0.133
2026-02-17,Jezreel Valley,18.15,15.11,2.1,Severe,Handled,-0.142
2026-02-17,Mount Tabor,16.25,13.52,1.84,Mild,Handled,-0.117
2026-02-18,Golan Heights,13.72,11.66,1.62,Mild,New,-0.169
2026-02-18,Jezreel Valley,17.68,15.22,1.63,Mild,New,-0.173
2026-02-19,Galilee South,17.22,14.84,1.83,Mild,Reviewed,-0.103
2026-02-19,Jezreel Valley,18.23,15.39,1.82,Mild,Handled,-0.156
2026-02-19,Mount Carmel,15.27,13.29,1.98,Mild,Handled,-0.071
2026-02-20,Galilee South,17.18,15.01,1.74,Mild,Reviewed,-0.169
2026-02-20,Golan Heights,13.84,11.88,1.63,Mild,New,-0.175
2026-02-20,Hula Valley,17.27,15.06,1.8,Mild,New,-0.155
2026-02-20,Jezreel Valley,18.69,15.53,1.9,Mild,New,-0.167
2026-02-20,Jordan Valley,23.2,20.12,1.8,Mild,Reviewed,-0.065
2026-02-20,Mount Carmel,15.6,13.42,2.08,Severe,Handled,-0.06
2026-02-21,Galilee South,17.29,14.99,1.92,Mild,New,-0.043
2026-02-21,Golan Heights,13.9,12.03,1.64,Mild,New,-0.089
2026-02-21,Hula Valley,17.24,15.17,1.63,Mild,New,-0.172
2026-02-21,Jezreel Valley,18.73,15.71,1.77,Mild,New,-0.151
2026-02-22,Galilee South,17.0,15.1,1.54,Mild,New,-0.143
2026-02-22,Hula Valley,17.51,15.27,1.68,Mild,Handled,-0.053
2026-02-22,Mount Carmel,15.29,13.62,1.64,Mild,New,-0.178
2026-02-23,Galilee South,17.59,15.22,1.84,Mild,Reviewed,-0.077
2026-02-23,Golan Heights,14.17,12.26,1.65,Mild,New,-0.169
2026-02-23,Hula Valley,17.4,15.42,1.51,Mild,New,-0.073
2026-02-24,Hula Valley,23.67,15.73,4.01,Critical,New,-0.061
2026-02-24,Jezreel Valley,18.92,16.13,1.62,Mild,New,-0.061
2026-02-24,Mount Carmel,15.53,13.82,1.66,Mild,Handled,-0.091
2026-02-25,Galilee South,18.2,15.43,2.02,Severe,New,-0.057
2026-02-25,Golan Heights,16.19,12.56,2.84,Severe,Handled,-0.068
2026-02-25,Jordan Valley,23.45,20.79,1.58,Mild,New,-0.089
2026-02-26,Galilee North,16.55,14.32,1.76,Mild,Handled,-0.153
2026-02-26,Galilee South,18.21,15.56,1.84,Mild,New,-0.147
2026-02-26,Jezreel Valley,18.97,16.45,1.56,Mild,New,-0.058
2026-02-26,Mount Carmel,17.0,13.97,2.59,Severe,New,-0.058
2026-02-26,Mount Tabor,16.78,14.66,1.75,Mild,Reviewed,-0.094
2026-02-27,Galilee North,16.86,14.44,1.81,Mild,Reviewed,-0.095
2026-02-27,Golan Heights,17.57,12.85,3.06,Critical,New,-0.142
2026-02-27,Jezreel Valley,20.36,16.68,2.18,Severe,New,-0.162
2026-02-27,Mount Carmel,16.02,14.09,1.64,Mild,Handled,-0.125
2026-02-27,Mount Tabor,16.59,14.79,1.5,Mild,Handled,-0.059
2026-02-28,Galilee North,17.08,14.6,1.82,Mild,New,-0.154
2026-02-28,Galilee South,18.05,15.85,1.53,Mild,New,-0.083
2026-02-28,Jordan Valley,24.4,21.21,1.85,Mild,New,-0.12
2026-02-28,Mount Tabor,17.59,14.92,2.09,Severe,New,-0.076
2026-03-01,Galilee South,18.36,16.0,1.62,Mild,New,-0.06
2026-03-01,Jezreel Valley,20.06,16.98,1.72,Mild,Reviewed,-0.142
2026-03-01,Jordan Valley,28.51,21.54,3.29,Critical,Reviewed,-0.107
2026-03-01,Mount Carmel,16.3,14.34,1.68,Mild,Reviewed,-0.146
2026-03-01,Mount Tabor,17.11,15.01,1.57,Mild,Reviewed,-0.148
2026-03-02,Mount Carmel,17.1,14.49,2.12,Severe,Handled,-0.092
2026-03-02,Mount Tabor,20.85,15.25,3.33,Critical,New,-0.075
2026-03-03,Galilee North,18.21,14.94,2.26,Severe,Reviewed,-0.116
2026-03-03,Golan Heights,15.81,13.24,1.62,Mild,Reviewed,-0.047
2026-03-03,Mount Carmel,17.47,14.65,2.19,Severe,Handled,-0.059
2026-03-04,Galilee South,18.93,16.44,1.72,Mild,Handled,-0.14
2026-03-04,Jordan Valley,25.74,21.94,1.71,Mild,Handled,-0.092
2026-03-04,Mount Carmel,16.82,14.76,1.54,Mild,New,-0.129
2026-03-05,Galilee North,18.1,15.19,1.94,Mild,Handled,-0.061
2026-03-05,Galilee South,19.01,16.61,1.68,Mild,New,-0.106
2026-03-05,Hula Valley,19.9,17.11,1.51,Mild,New,-0.065
2026-03-05,Mount Carmel,17.26,14.91,1.73,Mild,New,-0.105
2026-03-06,Galilee North,18.01,15.35,1.73,Mild,New,-0.147
2026-03-06,Galilee South,19.16,16.78,1.66,Mild,New,-0.085
2026-03-07,Galilee North,19.71,15.57,2.48,Severe,New,-0.101
2026-03-07,Galilee South,20.58,16.97,2.34,Severe,New,-0.148
2026-03-07,Golan Heights,16.51,13.74,1.68,Mild,New,-0.164
2026-03-07,Jezreel Valley,20.2,18.03,1.52,Mild,Reviewed,-0.123
2026-03-07,Mount Carmel,17.4,15.11,1.67,Mild,Reviewed,-0.132
2026-03-08,Golan Heights,17.74,13.98,2.21,Severe,Reviewed,-0.115
2026-03-08,Jordan Valley,25.87,22.6,1.58,Mild,New,-0.172
2026-03-08,Mount Carmel,17.98,15.26,1.9,Mild,New,-0.045
2026-03-08,Mount Tabor,22.72,16.29,3.28,Critical,New,-0.081
2026-03-09,Galilee North,24.18,16.08,3.72,Critical,New,-0.062
2026-03-09,Hula Valley,21.36,17.74,1.9,Mild,New,-0.162
2026-03-09,Jordan Valley,26.9,22.8,1.88,Mild,Reviewed,-0.044
2026-03-09,Mount Carmel,18.82,15.46,2.24,Severe,Reviewed,-0.057
2026-03-10,Jezreel Valley,20.74,18.4,1.67,Mild,Handled,-0.1
2026-03-10,Mount Carmel,18.53,15.59,1.85,Mild,New,-0.084
2026-03-11,Galilee South,24.84,17.69,3.69,Critical,Handled,-0.08
2026-03-11,Jezreel Valley,22.53,18.59,2.54,Severe,Reviewed,-0.088
2026-03-11,Mount Carmel,18.61,15.78,1.77,Mild,New,-0.047
2026-03-12,Hula Valley,21.21,18.19,1.6,Mild,Reviewed,-0.161
2026-03-12,Jezreel Valley,25.35,18.89,3.35,Critical,New,-0.06
2026-03-12,Jordan Valley,27.02,23.43,1.65,Mild,New,-0.13
2026-03-13,Golan Heights,17.37,14.79,1.66,Mild,New,-0.137
2026-03-14,Jordan Valley,26.98,23.86,1.51,Mild,New,-0.146
2026-03-15,Jezreel Valley,22.37,19.41,1.62,Mild,New,-0.138
2026-03-16,Galilee North,20.33,17.17,1.55,Mild,Reviewed,-0.044
2026-03-16,Golan Heights,17.75,15.19,1.63,Mild,New,-0.168
2026-03-16,Jezreel Valley,22.71,19.58,1.66,Mild,Reviewed,-0.175
2026-03-19,Galilee South,21.85,19.02,1.52,Mild,New,-0.156
2026-03-19,Mount Carmel,19.98,16.94,2.0,Mild,New,-0.061
2026-03-20,Galilee North,24.94,17.88,2.89,Severe,New,-0.072
2026-03-20,Hula Valley,23.14,19.53,1.88,Mild,New,-0.064
2026-03-20,Jezreel Valley,25.31,20.26,2.52,Severe,Reviewed,-0.094
2026-03-21,Golan Heights,18.79,15.88,1.97,Mild,New,-0.089
2026-03-21,Mount Carmel,20.16,17.26,1.82,Mild,Handled,-0.068
2026-03-22,Jezreel Valley,24.47,20.62,1.81,Mild,New,-0.144
2026-03-23,Jordan Valley,28.55,25.49,1.57,Mild,Reviewed,-0.042
2026-03-23,Mount Tabor,21.36,18.61,1.54,Mild,Reviewed,-0.149
2026-03-24,Golan Heights,19.2,16.35,1.89,Mild,New,-0.121
2026-03-24,Jordan Valley,29.31,25.71,1.81,Mild,Handled,-0.124
2026-03-25,Galilee South,22.76,19.88,1.63,Mild,New,-0.133
2026-03-25,Hula Valley,22.84,20.35,1.52,Mild,New,-0.169
2026-03-25,Jordan Valley,32.22,26.02,2.76,Severe,New,-0.131
2026-03-25,Mount Carmel,25.02,17.98,3.61,Critical,Handled,-0.168
2026-03-26,Golan Heights,19.29,16.69,1.73,Mild,New,-0.05
2026-03-26,Hula Valley,22.82,20.32,1.57,Mild,New,-0.13
2026-03-26,Mount Tabor,21.85,19.13,1.6,Mild,Handled,-0.157
2026-03-27,Hula Valley,23.11,20.49,1.63,Mild,Handled,-0.055
2026-03-27,Mount Carmel,21.77,18.36,1.83,Mild,New,-0.051
2026-03-27,Mount Tabor,22.6,19.35,1.91,Mild,New,-0.069
2026-03-28,Galilee South,23.04,20.34,1.59,Mild,Handled,-0.05
2026-03-28,Golan Heights,19.57,16.96,1.72,Mild,New,-0.136
2026-03-28,Hula Valley,23.95,20.69,1.96,Mild,New,-0.088
2026-03-28,Mount Tabor,22.13,19.53,1.53,Mild,Handled,-0.159
2026-03-29,Galilee North,23.16,19.42,1.72,Mild,New,-0.145
2026-03-29,Golan Heights,19.96,17.03,1.82,Mild,Handled,-0.049
2026-03-29,Hula Valley,23.73,20.86,1.69,Mild,New,-0.135
2026-03-30,Galilee South,23.22,20.67,1.53,Mild,New,-0.094
2026-03-30,Mount Tabor,23.14,19.9,1.86,Mild,Reviewed,-0.059
2026-03-31,Golan Heights,20.38,17.42,1.91,Mild,Reviewed,-0.1
2026-03-31,Hula Valley,24.27,21.22,1.78,Mild,Reviewed,-0.065
2026-03-31,Mount Carmel,22.69,18.92,2.04,Severe,Handled,-0.146
2026-04-01,Golan Heights,20.58,17.61,1.88,Mild,Reviewed,-0.149
2026-04-01,Hula Valley,24.58,21.41,1.81,Mild,Reviewed,-0.065
2026-04-01,Mount Carmel,21.97,19.08,1.52,Mild,New,-0.091
2026-04-02,Galilee North,23.59,20.1,1.7,Mild,Handled,-0.15
2026-04-02,Jezreel Valley,26.71,22.62,1.96,Mild,New,-0.115
2026-04-02,Mount Tabor,23.23,20.29,1.68,Mild,Reviewed,-0.096
2026-04-03,Golan Heights,24.11,18.04,3.25,Critical,Reviewed,-0.127
2026-04-03,Hula Valley,24.94,21.82,1.81,Mild,Handled,-0.139
2026-04-03,Mount Carmel,22.92,19.43,1.75,Mild,New,-0.096
2026-04-03,Mount Tabor,23.96,20.5,1.92,Mild,Reviewed,-0.144
2026-04-04,Hula Valley,28.67,22.12,3.13,Critical,New,-0.141
2026-04-05,Galilee South,24.51,21.65,1.77,Mild,Handled,-0.05
2026-04-05,Jezreel Valley,26.76,23.27,1.69,Mild,Handled,-0.157
2026-04-05,Jordan Valley,31.35,28.15,1.67,Mild,New,-0.176
2026-04-06,Galilee South,24.72,21.79,1.72,Mild,New,-0.048
2026-04-06,Hula Valley,25.66,22.46,1.58,Mild,New,-0.144
2026-04-06,Mount Tabor,23.83,21.06,1.57,Mild,New,-0.147
2026-04-07,Golan Heights,21.38,18.6,1.52,Mild,New,-0.104
2026-04-08,Galilee South,24.71,22.13,1.58,Mild,New,-0.139
2026-04-08,Golan Heights,27.31,18.97,3.52,Critical,New,-0.169
2026-04-08,Hula Valley,26.16,22.77,1.64,Mild,Handled,-0.163
2026-04-08,Jezreel Valley,26.65,23.9,1.5,Mild,New,-0.127
2026-04-09,Galilee North,23.64,20.88,1.58,Mild,Handled,-0.179
2026-04-09,Galilee South,25.4,22.35,1.89,Mild,New,-0.166
2026-04-09,Jezreel Valley,27.99,24.14,2.06,Severe,New,-0.048
2026-04-09,Jordan Valley,31.89,28.87,1.61,Mild,New,-0.173
2026-04-09,Mount Tabor,24.53,21.41,1.79,Mild,Reviewed,-0.118
2026-04-10,Galilee South,25.75,22.38,2.03,Severe,New,-0.083
2026-04-10,Jezreel Valley,27.41,24.31,1.6,Mild,New,-0.081
2026-04-10,Mount Tabor,24.42,21.59,1.62,Mild,Reviewed,-0.078
2026-04-11,Galilee North,27.6,21.32,3.11,Critical,New,-0.116
2026-04-11,Galilee South,25.04,22.57,1.51,Mild,New,-0.063
2026-04-12,Galilee South,25.86,22.75,1.83,Mild,Handled,-0.105
2026-04-12,Jezreel Valley,27.4,24.52,1.52,Mild,New,-0.128
2026-04-12,Jordan Valley,32.13,29.38,1.52,Mild,New,-0.135
