site,model,mae,rmse,r2
Hula Valley,Random Forest,1.38,1.98,0.88
Hula Valley,Gradient Boosting,1.13,1.67,0.901
Hula Valley,LSTM,0.84,1.2,0.939
Golan Heights,Random Forest,1.43,1.87,0.878
Golan Heights,Gradient Boosting,1.29,1.75,0.911
Golan Heights,LSTM,0.86,1.38,0.935
Galilee North,Random Forest,1.37,1.98,0.881
Galilee North,Gradient Boosting,1.25,1.72,0.913
Galilee North,LSTM,0.86,1.25,0.936
Galilee South,Random Forest,1.33,1.97,0.876
Galilee South,Gradient Boosting,1.21,1.76,0.916
Galilee South,LSTM,0.89,1.3,0.95
Mount Carmel,Random Forest,1.43,1.96,0.888
Mount Carmel,Gradient Boosting,1.26,1.64,0.911
Mount Carmel,LSTM,0.82,1.33,0.949
Jezreel Valley,Random Forest,1.4,1.89,0.871
Jezreel Valley,Gradient Boosting,1.29,1.62,0.901
Jezreel Valley,LSTM,0.85,1.21,0.939
Jordan Valley,Random Forest,1.4,1.86,0.871
Jordan Valley,Gradient Boosting,1.12,1.68,0.901
Jordan Valley,LSTM,0.94,1.24,0.936
Mount Tabor,Random Forest,1.38,1.88,0.87
Mount Tabor,Gradient Boosting,1.12,1.77,0.9
Mount Tabor,LSTM,0.9,1.3,0.937
