year,month,site,lst,ndvi,z_score_lst,z_score_ndvi,delta,is_anomaly
2000,1,Hula Valley,11.64,0.551,1.87,0.32,1.55,True
2000,2,Hula Valley,12.79,0.616,1.55,0.49,1.06,True
2000,3,Hula Valley,15.54,0.656,-0.69,-0.4,-0.29,False
2000,4,Hula Valley,21.78,0.671,-0.44,-0.51,0.07,False
2000,5,Hula Valley,27.67,0.63,-0.58,-0.76,0.18,False
2000,6,Hula Valley,41.79,0.623,4.06,0.85,3.21,True
2000,7,Hula Valley,35.75,0.577,1.71,1.28,0.43,True
2000,8,Hula Valley,31.54,0.491,-0.72,0.64,-1.36,False
2000,9,Hula Valley,28.96,0.423,0.62,-0.32,0.94,False
2000,10,Hula Valley,26.06,0.415,2.48,0.24,2.24,True
2000,11,Hula Valley,14.88,0.428,-1.02,-0.12,-0.9,False
2000,12,Hula Valley,10.95,0.449,-0.45,-1.84,1.39,True
2001,1,Hula Valley,10.24,0.537,-0.07,-0.39,0.32,False
2001,2,Hula Valley,12.11,0.626,0.68,1.3,-0.62,False
2001,3,Hula Valley,15.91,0.678,-0.3,1.14,-1.44,False
2001,4,Hula Valley,22.34,0.673,-0.17,-0.36,0.19,False
2001,5,Hula Valley,27.49,0.65,-0.79,0.0,-0.79,False
2001,6,Hula Valley,33.07,0.566,0.01,-2.01,2.02,True
2001,7,Hula Valley,33.17,0.542,-1.4,-0.34,-1.06,False
2001,8,Hula Valley,40.05,0.497,2.55,0.98,1.57,True
2001,9,Hula Valley,28.09,0.437,-0.25,0.61,-0.86,False
2001,10,Hula Valley,22.42,0.439,-0.34,1.38,-1.72,False
2001,11,Hula Valley,16.78,0.433,0.04,0.13,-0.09,False
2001,12,Hula Valley,10.56,0.487,-0.73,0.43,-1.16,False
2002,1,Hula Valley,11.1,0.574,1.12,1.5,-0.38,False
2002,2,Hula Valley,10.46,0.619,-1.41,0.73,-2.14,False
2002,3,Hula Valley,17.45,0.656,1.33,-0.4,1.73,False
2002,4,Hula Valley,21.25,0.659,-0.7,-1.39,0.69,False
2002,5,Hula Valley,28.26,0.668,0.12,0.69,-0.57,False
2002,6,Hula Valley,32.56,0.597,-0.23,-0.45,0.22,False
2002,7,Hula Valley,33.4,0.543,-1.13,-0.3,-0.83,False
2002,8,Hula Valley,31.51,0.482,-0.73,0.13,-0.86,False
2002,9,Hula Valley,28.82,0.424,0.48,-0.26,0.74,False
2002,10,Hula Valley,21.75,0.465,-0.86,2.61,-3.47,False
2002,11,Hula Valley,16.88,0.422,0.09,-0.41,0.5,False
2002,12,Hula Valley,12.51,0.459,0.67,-1.25,1.92,False
2003,1,Hula Valley,10.42,0.562,0.18,0.89,-0.71,False
2003,2,Hula Valley,11.71,0.614,0.18,0.32,-0.14,False
2003,3,Hula Valley,15.57,0.649,-0.65,-0.89,0.24,False
2003,4,Hula Valley,31.14,0.676,4.07,-0.14,4.21,True
2003,5,Hula Valley,30.7,0.706,3.01,2.14,0.87,True
2003,6,Hula Valley,32.06,0.586,-0.46,-1.0,0.54,False
2003,7,Hula Valley,34.31,0.568,-0.03,0.86,-0.89,False
2003,8,Hula Valley,31.36,0.491,-0.79,0.64,-1.43,False
2003,9,Hula Valley,28.08,0.44,-0.26,0.81,-1.07,False
2003,10,Hula Valley,22.96,0.437,0.08,1.29,-1.21,False
2003,11,Hula Valley,16.73,0.412,0.01,-0.9,0.91,False
2003,12,Hula Valley,9.67,0.498,-1.37,1.09,-2.46,False
2004,1,Hula Valley,9.8,0.553,-0.68,0.42,-1.1,False
2004,2,Hula Valley,10.7,0.593,-1.1,-1.38,0.28,False
2004,3,Hula Valley,13.78,0.674,-2.54,0.86,-3.4,False
2004,4,Hula Valley,22.18,0.675,-0.25,-0.21,-0.04,False
2004,5,Hula Valley,27.96,0.646,-0.24,-0.15,-0.09,False
2004,6,Hula Valley,34.12,0.614,0.5,0.4,0.1,False
2004,7,Hula Valley,33.19,0.554,-1.38,0.21,-1.59,False
2004,8,Hula Valley,38.3,0.482,1.88,0.13,1.75,True
2004,9,Hula Valley,26.85,0.441,-1.48,0.88,-2.36,False
2004,10,Hula Valley,23.5,0.377,0.5,-1.56,2.06,True
2004,11,Hula Valley,15.24,0.431,-0.82,0.03,-0.85,False
2004,12,Hula Valley,13.24,0.49,1.19,0.61,0.58,False
2005,1,Hula Valley,10.71,0.549,0.58,0.22,0.36,False
2005,2,Hula Valley,10.38,0.619,-1.51,0.73,-2.24,False
2005,3,Hula Valley,16.51,0.665,0.34,0.23,0.11,False
2005,4,Hula Valley,22.09,0.671,-0.29,-0.51,0.22,False
2005,5,Hula Valley,28.2,0.616,0.05,-1.29,1.34,False
2005,6,Hula Valley,32.24,0.616,-0.38,0.5,-0.88,False
2005,7,Hula Valley,34.11,0.497,-0.27,-2.43,2.16,True
2005,8,Hula Valley,31.47,0.482,-0.74,0.13,-0.87,False
2005,9,Hula Valley,26.68,0.438,-1.65,0.68,-2.33,False
2005,10,Hula Valley,22.02,0.408,-0.65,-0.09,-0.56,False
2005,11,Hula Valley,22.47,0.48,3.2,2.43,0.77,True
2005,12,Hula Valley,11.65,0.466,0.05,-0.83,0.88,False
2006,1,Hula Valley,10.56,0.548,0.37,0.17,0.2,False
2006,2,Hula Valley,11.65,0.595,0.1,-1.22,1.32,False
2006,3,Hula Valley,16.49,0.66,0.32,-0.12,0.44,False
2006,4,Hula Valley,22.74,0.683,0.02,0.38,-0.36,False
2006,5,Hula Valley,27.59,0.659,-0.68,0.35,-1.03,False
2006,6,Hula Valley,32.11,0.611,-0.44,0.25,-0.69,False
2006,7,Hula Valley,32.82,0.545,-1.83,-0.2,-1.63,False
2006,8,Hula Valley,32.86,0.504,-0.21,1.38,-1.59,False
2006,9,Hula Valley,27.9,0.423,-0.43,-0.32,-0.11,False
2006,10,Hula Valley,23.01,0.4,0.12,-0.47,0.59,False
2006,11,Hula Valley,17.18,0.435,0.26,0.23,0.03,False
2006,12,Hula Valley,9.4,0.505,-1.56,1.5,-3.06,False
2007,1,Hula Valley,8.02,0.498,-3.14,-2.39,-0.75,True
2007,2,Hula Valley,11.15,0.614,-0.53,0.32,-0.85,False
2007,3,Hula Valley,15.7,0.646,-0.52,-1.1,0.58,False
2007,4,Hula Valley,21.25,0.708,-0.7,2.22,-2.92,False
2007,5,Hula Valley,27.76,0.679,-0.47,1.11,-1.58,False
2007,6,Hula Valley,31.75,0.626,-0.61,1.0,-1.61,False
2007,7,Hula Valley,34.33,0.564,-0.0,0.68,-0.68,False
2007,8,Hula Valley,32.74,0.482,-0.26,0.13,-0.39,False
2007,9,Hula Valley,29.75,0.427,1.41,-0.06,1.47,False
2007,10,Hula Valley,23.22,0.393,0.28,-0.8,1.08,False
2007,11,Hula Valley,14.81,0.459,-1.05,1.4,-2.45,False
2007,12,Hula Valley,10.17,0.463,-1.01,-1.01,0.0,False
2008,1,Hula Valley,10.0,0.531,-0.4,-0.7,0.3,False
2008,2,Hula Valley,11.52,0.582,-0.06,-2.27,2.21,True
2008,3,Hula Valley,15.95,0.665,-0.25,0.23,-0.48,False
2008,4,Hula Valley,23.59,0.666,0.43,-0.88,1.31,False
2008,5,Hula Valley,27.21,0.696,-1.13,1.76,-2.89,False
2008,6,Hula Valley,32.97,0.641,-0.04,1.75,-1.79,False
2008,7,Hula Valley,33.77,0.564,-0.68,0.68,-1.36,False
2008,8,Hula Valley,33.16,0.447,-0.1,-1.87,1.77,True
2008,9,Hula Valley,28.16,0.429,-0.18,0.08,-0.26,False
2008,10,Hula Valley,21.11,0.396,-1.36,-0.66,-0.7,False
2008,11,Hula Valley,19.82,0.388,1.72,-2.08,3.8,True
2008,12,Hula Valley,12.27,0.498,0.49,1.09,-0.6,False
2009,1,Hula Valley,10.92,0.577,0.87,1.65,-0.78,False
2009,2,Hula Valley,13.06,0.626,1.89,1.3,0.59,True
2009,3,Hula Valley,16.59,0.666,0.42,0.3,0.12,False
2009,4,Hula Valley,22.57,0.699,-0.06,1.55,-1.61,False
2009,5,Hula Valley,27.9,0.646,-0.31,-0.15,-0.16,False
2009,6,Hula Valley,31.77,0.626,-0.6,1.0,-1.6,False
2009,7,Hula Valley,33.61,0.578,-0.87,1.33,-2.2,False
2009,8,Hula Valley,34.1,0.485,0.27,0.3,-0.03,False
2009,9,Hula Valley,27.63,0.412,-0.7,-1.05,0.35,False
2009,10,Hula Valley,21.67,0.392,-0.92,-0.85,-0.07,False
2009,11,Hula Valley,16.32,0.411,-0.22,-0.95,0.73,False
2009,12,Hula Valley,15.45,0.493,2.77,0.79,1.98,True
2010,1,Hula Valley,10.04,0.551,-0.35,0.32,-0.67,False
2010,2,Hula Valley,12.4,0.598,1.05,-0.97,2.02,False
2010,3,Hula Valley,16.86,0.682,0.71,1.42,-0.71,False
2010,4,Hula Valley,22.42,0.677,-0.13,-0.07,-0.06,False
2010,5,Hula Valley,27.29,0.657,-1.03,0.27,-1.3,False
2010,6,Hula Valley,32.33,0.609,-0.34,0.15,-0.49,False
2010,7,Hula Valley,34.26,0.57,-0.09,0.96,-1.05,False
2010,8,Hula Valley,32.92,0.509,-0.19,1.66,-1.85,False
2010,9,Hula Valley,30.78,0.398,2.43,-1.99,4.42,True
2010,10,Hula Valley,24.77,0.422,1.48,0.57,0.91,False
2010,11,Hula Valley,17.45,0.433,0.41,0.13,0.28,False
2010,12,Hula Valley,12.23,0.47,0.47,-0.59,1.06,False
2011,1,Hula Valley,10.04,0.557,-0.35,0.63,-0.98,False
2011,2,Hula Valley,11.85,0.623,0.36,1.05,-0.69,False
2011,3,Hula Valley,16.76,0.663,0.6,0.09,0.51,False
2011,4,Hula Valley,22.82,0.658,0.06,-1.47,1.53,False
2011,5,Hula Valley,29.39,0.658,1.46,0.31,1.15,False
2011,6,Hula Valley,32.77,0.595,-0.13,-0.55,0.42,False
2011,7,Hula Valley,34.62,0.518,0.35,-1.46,1.81,False
2011,8,Hula Valley,32.82,0.465,-0.23,-0.84,0.61,False
2011,9,Hula Valley,27.76,0.45,-0.57,1.47,-2.04,False
