date,site,lst
2000-02-01,Carmel_Forest,14.53
2000-03-01,Carmel_Forest,17.91
2000-04-01,Carmel_Forest,23.51
2000-05-01,Carmel_Forest,28.66
2000-06-01,Carmel_Forest,32.52
2000-07-01,Carmel_Forest,33.63
2000-08-01,Carmel_Forest,32.82
2000-09-01,Carmel_Forest,31.42
2000-10-01,Carmel_Forest,27.72
2000-11-01,Carmel_Forest,22.67
2000-12-01,Carmel_Forest,14.57
2001-01-01,Carmel_Forest,14.61
2001-02-01,Carmel_Forest,15.36
2001-03-01,Carmel_Forest,21.78
2001-04-01,Carmel_Forest,24.21
2001-05-01,Carmel_Forest,30.09
2001-06-01,Carmel_Forest,33.48
2001-07-01,Carmel_Forest,33.23
2001-08-01,Carmel_Forest,31.87
2001-09-01,Carmel_Forest,30.22
2001-10-01,Carmel_Forest,27.79
2001-11-01,Carmel_Forest,20.11
2001-12-01,Carmel_Forest,15.44
2002-01-01,Carmel_Forest,12.32
2002-02-01,Carmel_Forest,16.94
2002-03-01,Carmel_Forest,21.62
2002-04-01,Carmel_Forest,21.5
2002-05-01,Carmel_Forest,27.69
2002-06-01,Carmel_Forest,31.24
2002-07-01,Carmel_Forest,32.39
2002-08-01,Carmel_Forest,31.41
2002-09-01,Carmel_Forest,31.42
2002-10-01,Carmel_Forest,28.58
2002-11-01,Carmel_Forest,22.86
2002-12-01,Carmel_Forest,16.37
2003-01-01,Carmel_Forest,15.94
2003-02-01,Carmel_Forest,12.95
2003-03-01,Carmel_Forest,15.58
2003-04-01,Carmel_Forest,21.31
2003-05-01,Carmel_Forest,29.86
2003-06-01,Carmel_Forest,31.23
2003-07-01,Carmel_Forest,31.88
2003-08-01,Carmel_Forest,31.82
2003-09-01,Carmel_Forest,29.81
2003-10-01,Carmel_Forest,28.02
2003-11-01,Carmel_Forest,21.53
2003-12-01,Carmel_Forest,15.4
2004-01-01,Carmel_Forest,13.05
2004-02-01,Carmel_Forest,15.82
2004-03-01,Carmel_Forest,19.59
2004-04-01,Carmel_Forest,24.89
2004-05-01,Carmel_Forest,26.71
2004-06-01,Carmel_Forest,29.98
2004-07-01,Carmel_Forest,32.96
2004-08-01,Carmel_Forest,31.75
2004-09-01,Carmel_Forest,31.11
2004-10-01,Carmel_Forest,28.85
2004-11-01,Carmel_Forest,23.06
2004-12-01,Carmel_Forest,14.47
2005-01-01,Carmel_Forest,13.09
2005-02-01,Carmel_Forest,14.32
2005-03-01,Carmel_Forest,19.3
2005-04-01,Carmel_Forest,24.43
2005-05-01,Carmel_Forest,29.15
2005-06-01,Carmel_Forest,31.06
2005-07-01,Carmel_Forest,32.48
2005-08-01,Carmel_Forest,31.82
2005-09-01,Carmel_Forest,31.2
2005-10-01,Carmel_Forest,27.9
2005-11-01,Carmel_Forest,20.37
2005-12-01,Carmel_Forest,18.03
2006-01-01,Carmel_Forest,13.33
2006-02-01,Carmel_Forest,17.05
2006-03-01,Carmel_Forest,19.44
2006-04-01,Carmel_Forest,23.86
2006-05-01,Carmel_Forest,27.37
2006-06-01,Carmel_Forest,30.72
2006-07-01,Carmel_Forest,30.69
2006-08-01,Carmel_Forest,32.04
2006-09-01,Carmel_Forest,31.65
2006-10-01,Carmel_Forest,27.06
2006-11-01,Carmel_Forest,18.74
2006-12-01,Carmel_Forest,15.31
2007-01-01,Carmel_Forest,13.63
2007-02-01,Carmel_Forest,16.7
2007-03-01,Carmel_Forest,18.27
2007-04-01,Carmel_Forest,20.99
2007-05-01,Carmel_Forest,28.39
2007-06-01,Carmel_Forest,31.78
2007-07-01,Carmel_Forest,32.24
2007-08-01,Carmel_Forest,31.34
2007-09-01,Carmel_Forest,29.38
2007-10-01,Carmel_Forest,28.09
2007-11-01,Carmel_Forest,21.25
2007-12-01,Carmel_Forest,14.39
2008-01-01,Carmel_Forest,10.81
2008-02-01,Carmel_Forest,13.76
2008-03-01,Carmel_Forest,22.42
2008-04-01,Carmel_Forest,26.83
2008-05-01,Carmel_Forest,28.62
2008-06-01,Carmel_Forest,32.23
2008-07-01,Carmel_Forest,33.11
2008-08-01,Carmel_Forest,32.43
2008-09-01,Carmel_Forest,30.91
2008-10-01,Carmel_Forest,27.09
2008-11-01,Carmel_Forest,21.27
2008-12-01,Carmel_Forest,16.51
2009-01-01,Carmel_Forest,13.75
2009-02-01,Carmel_Forest,16.46
2009-03-01,Carmel_Forest,17.86
2009-04-01,Carmel_Forest,23.39
2009-05-01,Carmel_Forest,29.6
2009-06-01,Carmel_Forest,32.32
2009-07-01,Carmel_Forest,33.02
2009-08-01,Carmel_Forest,33.06
2009-09-01,Carmel_Forest,29.0
2009-10-01,Carmel_Forest,29.95
2009-11-01,Carmel_Forest,20.34
2009-12-01,Carmel_Forest,16.79
2010-01-01,Carmel_Forest,15.82
2010-02-01,Carmel_Forest,16.09
2010-03-01,Carmel_Forest,19.61
2010-04-01,Carmel_Forest,25.2
2010-05-01,Carmel_Forest,28.51
2010-06-01,Carmel_Forest,31.38
2010-07-01,Carmel_Forest,31.68
2010-08-01,Carmel_Forest,32.52
