date,site,lst,baseline_mean,baseline_std
2000-02-01,Carmel_Forest,14.53,,
2000-03-01,Carmel_Forest,17.91,,
2000-04-01,Carmel_Forest,23.51,,
2000-05-01,Carmel_Forest,28.66,,
2000-06-01,Carmel_Forest,32.52,,
2000-07-01,Carmel_Forest,33.63,,
2000-08-01,Carmel_Forest,32.82,,
2000-09-01,Carmel_Forest,31.42,,
2000-10-01,Carmel_Forest,27.72,,
2000-11-01,Carmel_Forest,22.67,,
2000-12-01,Carmel_Forest,14.57,,
2001-01-01,Carmel_Forest,14.61,,
2001-02-01,Carmel_Forest,15.36,,
2001-03-01,Carmel_Forest,21.78,,
2001-04-01,Carmel_Forest,24.21,,
2001-05-01,Carmel_Forest,30.09,,
2001-06-01,Carmel_Forest,33.48,,
2001-07-01,Carmel_Forest,33.23,,
2001-08-01,Carmel_Forest,31.87,,
2001-09-01,Carmel_Forest,30.22,,
2001-10-01,Carmel_Forest,27.79,,
2001-11-01,Carmel_Forest,20.11,,
2001-12-01,Carmel_Forest,15.44,,
2002-01-01,Carmel_Forest,12.32,,
2002-02-01,Carmel_Forest,16.94,,
2002-03-01,Carmel_Forest,21.62,,
2002-04-01,Carmel_Forest,21.5,,
2002-05-01,Carmel_Forest,27.69,,
2002-06-01,Carmel_Forest,31.24,,
2002-07-01,Carmel_Forest,32.39,,
2002-08-01,Carmel_Forest,31.41,,
2002-09-01,Carmel_Forest,31.42,,
2002-10-01,Carmel_Forest,28.58,,
2002-11-01,Carmel_Forest,22.86,,
2002-12-01,Carmel_Forest,16.37,,
2003-01-01,Carmel_Forest,15.94,,
2003-02-01,Carmel_Forest,12.95,15.61,1.2242957159118064
2003-03-01,Carmel_Forest,15.58,20.436666666666667,2.1896194494325574
2003-04-01,Carmel_Forest,21.31,23.07333333333333,1.4067811959694851
2003-05-01,Carmel_Forest,29.86,28.813333333333333,1.2073248665265417
2003-06-01,Carmel_Forest,31.23,32.413333333333334,1.1238030669709584
2003-07-01,Carmel_Forest,31.88,33.083333333333336,0.6328770286029773
2003-08-01,Carmel_Forest,31.82,32.03333333333333,0.7190502995850382
2003-09-01,Carmel_Forest,29.81,31.02,0.6928203230275526
2003-10-01,Carmel_Forest,28.02,28.03,0.4775981574503817
2003-11-01,Carmel_Forest,21.53,21.88,1.535805977329168
2003-12-01,Carmel_Forest,15.4,15.46,0.9001666512374255
2004-01-01,Carmel_Forest,13.05,14.29,1.831092570024792
2004-02-01,Carmel_Forest,15.82,14.945,1.6637808349258834
2004-03-01,Carmel_Forest,19.59,19.2225,3.015475363299569
2004-04-01,Carmel_Forest,24.89,22.6325,1.4479957412460402
2004-05-01,Carmel_Forest,26.71,29.075,1.1160794475902382
2004-06-01,Carmel_Forest,29.98,32.1175,1.0917989741706111
2004-07-01,Carmel_Forest,32.96,32.7825,0.7931109632327629
2004-08-01,Carmel_Forest,31.75,31.98,0.5967132197854064
2004-09-01,Carmel_Forest,31.11,30.7175,0.8282662615367131
2004-10-01,Carmel_Forest,28.85,28.0275,0.389989316092975
2004-11-01,Carmel_Forest,23.06,21.7925,1.2661325628332396
2004-12-01,Carmel_Forest,14.47,15.445,0.7355949972641198
2005-01-01,Carmel_Forest,13.09,13.98,1.6185384353380876
2005-02-01,Carmel_Forest,14.32,15.12,1.493067312615209
2005-03-01,Carmel_Forest,19.3,19.296,2.616644798210105
2005-04-01,Carmel_Forest,24.43,23.084,1.6099006180506927
2005-05-01,Carmel_Forest,29.15,28.602,1.432784003260784
2005-06-01,Carmel_Forest,31.06,31.69,1.3445445325462442
2005-07-01,Carmel_Forest,32.48,32.818,0.6914260625692388
2005-08-01,Carmel_Forest,31.82,31.934,0.5269060637343245
2005-09-01,Carmel_Forest,31.2,30.796000000000003,0.7384646233909936
2005-10-01,Carmel_Forest,27.9,28.192,0.4993696025991175
2005-11-01,Carmel_Forest,20.37,22.046,1.234354082101242
2005-12-01,Carmel_Forest,18.03,15.25,0.7719779789605402
2006-01-01,Carmel_Forest,13.33,13.802,1.4571101536946336
2006-02-01,Carmel_Forest,17.05,14.986666666666665,1.3747969547051917
2006-03-01,Carmel_Forest,19.44,19.296666666666667,2.3403988264111457
2006-04-01,Carmel_Forest,23.86,23.308333333333334,1.5412257027011549
2006-05-01,Carmel_Forest,27.37,28.69333333333333,1.3009022510037658
2006-06-01,Carmel_Forest,30.72,31.585,1.229792665452189
2006-07-01,Carmel_Forest,30.69,32.76166666666666,0.6336376461879989
2006-08-01,Carmel_Forest,32.04,31.915,0.4735715363068182
2006-09-01,Carmel_Forest,31.65,30.863333333333333,0.6807838619317207
2006-10-01,Carmel_Forest,27.06,28.14333333333333,0.4622841838811568
2006-11-01,Carmel_Forest,18.74,21.766666666666666,1.2988713048900056
2006-12-01,Carmel_Forest,15.31,15.713333333333331,1.3284677890963963
2007-01-01,Carmel_Forest,13.63,13.723333333333334,1.3174470261329925
2007-02-01,Carmel_Forest,16.7,15.281428571428568,1.4775816793150964
2007-03-01,Carmel_Forest,18.27,19.31714285714286,2.137168799180466
