date,year,month,lst,ndvi,site,land_cover
2000-02-01,2000,2,14.53,0.5187,Carmel_Forest,Forest
2000-03-01,2000,3,17.91,0.5401,Carmel_Forest,Forest
2000-04-01,2000,4,23.51,0.5481,Carmel_Forest,Forest
2000-05-01,2000,5,28.66,0.45215,Carmel_Forest,Forest
2000-06-01,2000,6,32.52,0.4128,Carmel_Forest,Forest
2000-07-01,2000,7,33.63,0.3815,Carmel_Forest,Forest
2000-08-01,2000,8,32.82,0.3639,Carmel_Forest,Forest
2000-09-01,2000,9,31.42,0.38415,Carmel_Forest,Forest
2000-10-01,2000,10,27.72,0.4005,Carmel_Forest,Forest
2000-11-01,2000,11,22.67,0.4941,Carmel_Forest,Forest
2000-12-01,2000,12,14.57,0.55675,Carmel_Forest,Forest
2001-01-01,2001,1,14.61,0.6855,Carmel_Forest,Forest
2001-02-01,2001,2,15.36,0.6488499999999999,Carmel_Forest,Forest
2001-03-01,2001,3,21.78,0.69575,Carmel_Forest,Forest
2001-04-01,2001,4,24.21,0.5733,Carmel_Forest,Forest
2001-05-01,2001,5,30.09,0.41845,Carmel_Forest,Forest
2001-06-01,2001,6,33.48,0.40659999999999996,Carmel_Forest,Forest
2001-07-01,2001,7,33.23,0.39725,Carmel_Forest,Forest
2001-08-01,2001,8,31.87,0.3745,Carmel_Forest,Forest
2001-09-01,2001,9,30.22,0.3474,Carmel_Forest,Forest
2001-10-01,2001,10,27.79,0.3857,Carmel_Forest,Forest
2001-11-01,2001,11,20.11,0.41364999999999996,Carmel_Forest,Forest
2001-12-01,2001,12,15.44,0.5085999999999999,Carmel_Forest,Forest
2002-01-01,2002,1,12.32,0.5385500000000001,Carmel_Forest,Forest
2002-02-01,2002,2,16.94,0.65925,Carmel_Forest,Forest
2002-03-01,2002,3,21.62,0.6058,Carmel_Forest,Forest
2002-04-01,2002,4,21.5,0.59865,Carmel_Forest,Forest
2002-05-01,2002,5,27.69,0.5262,Carmel_Forest,Forest
2002-06-01,2002,6,31.24,0.45404999999999995,Carmel_Forest,Forest
2002-07-01,2002,7,32.39,0.41615,Carmel_Forest,Forest
2002-08-01,2002,8,31.41,0.40415,Carmel_Forest,Forest
2002-09-01,2002,9,31.42,0.4042,Carmel_Forest,Forest
2002-10-01,2002,10,28.58,0.3748,Carmel_Forest,Forest
2002-11-01,2002,11,22.86,0.3892,Carmel_Forest,Forest
2002-12-01,2002,12,16.37,0.49795,Carmel_Forest,Forest
2003-01-01,2003,1,15.94,0.5536,Carmel_Forest,Forest
2003-02-01,2003,2,12.95,0.6084499999999999,Carmel_Forest,Forest
2003-03-01,2003,3,15.58,0.6799,Carmel_Forest,Forest
2003-04-01,2003,4,21.31,0.58335,Carmel_Forest,Forest
2003-05-01,2003,5,29.86,0.51095,Carmel_Forest,Forest
2003-06-01,2003,6,31.23,0.42215,Carmel_Forest,Forest
2003-07-01,2003,7,31.88,0.4274,Carmel_Forest,Forest
2003-08-01,2003,8,31.82,0.36424999999999996,Carmel_Forest,Forest
2003-09-01,2003,9,29.81,0.4041,Carmel_Forest,Forest
2003-10-01,2003,10,28.02,0.3324,Carmel_Forest,Forest
2003-11-01,2003,11,21.53,0.4225,Carmel_Forest,Forest
2003-12-01,2003,12,15.4,0.5031,Carmel_Forest,Forest
2004-01-01,2004,1,13.05,0.62315,Carmel_Forest,Forest
2004-02-01,2004,2,15.82,0.614,Carmel_Forest,Forest
2004-03-01,2004,3,19.59,0.68075,Carmel_Forest,Forest
2004-04-01,2004,4,24.89,0.5700000000000001,Carmel_Forest,Forest
2004-05-01,2004,5,26.71,0.42205000000000004,Carmel_Forest,Forest
2004-06-01,2004,6,29.98,0.4355,Carmel_Forest,Forest
2004-07-01,2004,7,32.96,0.3715,Carmel_Forest,Forest
2004-08-01,2004,8,31.75,0.39165,Carmel_Forest,Forest
2004-09-01,2004,9,31.11,0.37105,Carmel_Forest,Forest
2004-10-01,2004,10,28.85,0.38465,Carmel_Forest,Forest
2004-11-01,2004,11,23.06,0.4968,Carmel_Forest,Forest
2004-12-01,2004,12,14.47,0.4403,Carmel_Forest,Forest
2005-01-01,2005,1,13.09,0.54665,Carmel_Forest,Forest
2005-02-01,2005,2,14.32,0.6275999999999999,Carmel_Forest,Forest
2005-03-01,2005,3,19.3,0.6745000000000001,Carmel_Forest,Forest
