year,month,site,lst,ndvi,z_score_lst,z_score_ndvi,delta,is_anomaly
2000,2,Carmel_Forest,14.53,0.5187,,,,False
2000,3,Carmel_Forest,17.91,0.5401,,,,False
2000,4,Carmel_Forest,23.51,0.5481,,,,False
2000,5,Carmel_Forest,28.66,0.45215,,,,False
2000,6,Carmel_Forest,32.52,0.4128,,,,False
2000,7,Carmel_Forest,33.63,0.3815,,,,False
2000,8,Carmel_Forest,32.82,0.3639,,,,False
2000,9,Carmel_Forest,31.42,0.38415,,,,False
2000,10,Carmel_Forest,27.72,0.4005,,,,False
2000,11,Carmel_Forest,22.67,0.4941,,,,False
2000,12,Carmel_Forest,14.57,0.55675,,,,False
2001,1,Carmel_Forest,14.61,0.6855,,,,False
2001,2,Carmel_Forest,15.36,0.6488499999999999,,,,False
2001,3,Carmel_Forest,21.78,0.69575,,,,False
2001,4,Carmel_Forest,24.21,0.5733,,,,False
2001,5,Carmel_Forest,30.09,0.41845,,,,False
2001,6,Carmel_Forest,33.48,0.4065999999999999,,,,False
2001,7,Carmel_Forest,33.23,0.39725,,,,False
2001,8,Carmel_Forest,31.87,0.3745,,,,False
2001,9,Carmel_Forest,30.22,0.3474,,,,False
2001,10,Carmel_Forest,27.79,0.3857,,,,False
2001,11,Carmel_Forest,20.11,0.4136499999999999,,,,False
2001,12,Carmel_Forest,15.44,0.5085999999999999,,,,False
2002,1,Carmel_Forest,12.32,0.5385500000000001,,,,False
2002,2,Carmel_Forest,16.94,0.65925,,,,False
2002,3,Carmel_Forest,21.62,0.6058,,,,False
2002,4,Carmel_Forest,21.5,0.59865,,,,False
2002,5,Carmel_Forest,27.69,0.5262,,,,False
2002,6,Carmel_Forest,31.24,0.4540499999999999,,,,False
2002,7,Carmel_Forest,32.39,0.41615,,,,False
2002,8,Carmel_Forest,31.41,0.40415,,,,False
2002,9,Carmel_Forest,31.42,0.4042,,,,False
2002,10,Carmel_Forest,28.58,0.3748,,,,False
2002,11,Carmel_Forest,22.86,0.3892,,,,False
2002,12,Carmel_Forest,16.37,0.49795,,,,False
2003,1,Carmel_Forest,15.94,0.5536,,,,False
2003,2,Carmel_Forest,12.95,0.6084499999999999,,,,False
2003,3,Carmel_Forest,15.58,0.6799,,,,False
2003,4,Carmel_Forest,21.31,0.58335,,,,False
2003,5,Carmel_Forest,29.86,0.51095,,,,False
2003,6,Carmel_Forest,31.23,0.42215,,,,False
2003,7,Carmel_Forest,31.88,0.4274,,,,False
2003,8,Carmel_Forest,31.82,0.3642499999999999,,,,False
2003,9,Carmel_Forest,29.81,0.4041,,,,False
2003,10,Carmel_Forest,28.02,0.3324,,,,False
2003,11,Carmel_Forest,21.53,0.4225,,,,False
2003,12,Carmel_Forest,15.4,0.5031,,,,False
2004,1,Carmel_Forest,13.05,0.62315,,,,False
2004,2,Carmel_Forest,15.82,0.614,,,,False
2004,3,Carmel_Forest,19.59,0.68075,,,,False
2004,4,Carmel_Forest,24.89,0.5700000000000001,,,,False
2004,5,Carmel_Forest,26.71,0.42205,,,,False
2004,6,Carmel_Forest,29.98,0.4355,,,,False
2004,7,Carmel_Forest,32.96,0.3715,,,,False
2004,8,Carmel_Forest,31.75,0.39165,,,,False
2004,9,Carmel_Forest,31.11,0.37105,,,,False
2004,10,Carmel_Forest,28.85,0.38465,,,,False
2004,11,Carmel_Forest,23.06,0.4968,,,,False
2004,12,Carmel_Forest,14.47,0.4403,,,,False
2005,1,Carmel_Forest,13.09,0.54665,,,,False
2005,2,Carmel_Forest,14.32,0.6275999999999999,,,,False
2005,3,Carmel_Forest,19.3,0.6745000000000001,,,,False
2005,4,Carmel_Forest,24.43,0.5488,,,,False
2005,5,Carmel_Forest,29.15,0.4204,,,,False
2005,6,Carmel_Forest,31.06,0.37355,,,,False
2005,7,Carmel_Forest,32.48,0.36745,,,,False
2005,8,Carmel_Forest,31.82,0.35085,,,,False
2005,9,Carmel_Forest,31.2,0.40785,,,,False
2005,10,Carmel_Forest,27.9,0.3578,,,,False
2005,11,Carmel_Forest,20.37,0.40175,,,,False
2005,12,Carmel_Forest,18.03,0.5166,,,,False
2006,1,Carmel_Forest,13.33,0.6307499999999999,,,,False
2006,2,Carmel_Forest,17.05,0.6261000000000001,,,,False
2006,3,Carmel_Forest,19.44,0.65445,,,,False
2006,4,Carmel_Forest,23.86,0.59355,,,,False
2006,5,Carmel_Forest,27.37,0.4556,,,,False
2006,6,Carmel_Forest,30.72,0.3953,,,,False
2006,7,Carmel_Forest,30.69,0.3702,,,,False
2006,8,Carmel_Forest,32.04,0.3855,,,,False
2006,9,Carmel_Forest,31.65,0.40985,,,,False
2006,10,Carmel_Forest,27.06,0.4758,,,,False
2006,11,Carmel_Forest,18.74,0.5305,,,,False
2006,12,Carmel_Forest,15.31,0.5799000000000001,,,,False
2007,1,Carmel_Forest,13.63,0.62185,,,,False
2007,2,Carmel_Forest,16.7,0.6498999999999999,,,,False
2007,3,Carmel_Forest,18.27,0.6651499999999999,,,,False
2007,4,Carmel_Forest,20.99,0.6374,,,,False
2007,5,Carmel_Forest,28.39,0.50205,,,,False
2007,6,Carmel_Forest,31.78,0.43115,,,,False
2007,7,Carmel_Forest,32.24,0.409,,,,False
2007,8,Carmel_Forest,31.34,0.3712,,,,False
2007,9,Carmel_Forest,29.38,0.36405,,,,False
2007,10,Carmel_Forest,28.09,0.3844,,,,False
2007,11,Carmel_Forest,21.25,0.3882,,,,False
2007,12,Carmel_Forest,14.39,0.5089,,,,False
2008,1,Carmel_Forest,10.81,0.57725,,,,False
2008,2,Carmel_Forest,13.76,0.6052500000000001,,,,False
2008,3,Carmel_Forest,22.42,0.61375,,,,False
2008,4,Carmel_Forest,26.83,0.4873,,,,False
2008,5,Carmel_Forest,28.62,0.40305,,,,False
2008,6,Carmel_Forest,32.23,0.3938,,,,False
2008,7,Carmel_Forest,33.11,0.37725,,,,False
2008,8,Carmel_Forest,32.43,0.3722,,,,False
2008,9,Carmel_Forest,30.91,0.3067,,,,False
2008,10,Carmel_Forest,27.09,0.3782999999999999,,,,False
2008,11,Carmel_Forest,21.27,0.5094,,,,False
2008,12,Carmel_Forest,16.51,0.5982000000000001,,,,False
2009,1,Carmel_Forest,13.75,0.6701,,,,False
2009,2,Carmel_Forest,16.46,0.7294499999999999,,,,False
2009,3,Carmel_Forest,17.86,0.67455,,,,False
2009,4,Carmel_Forest,23.39,0.65325,,,,False
2009,5,Carmel_Forest,29.6,0.45775,,,,False
2009,6,Carmel_Forest,32.32,0.3959,,,,False
